index,people,doorOpen,doorLocked,timestamp,peopleAllowd
1,4,0,1,5/3/2021 14:34,
2,4,0,0,5/3/2021 14:34,
3,4,1,0,5/3/2021 14:34,
4,5,1,0,5/3/2021 14:34,
5,5,0,1,5/3/2021 14:34,
6,5,0,0,5/3/2021 14:34,
7,5,0,1,5/3/2021 14:34,
8,5,0,0,5/3/2021 14:34,
9,5,0,1,5/3/2021 14:34,
10,5,0,0,5/3/2021 14:34,
11,5,1,0,5/3/2021 14:34,
12,5,0,0,5/3/2021 14:34,
13,5,1,0,5/3/2021 14:34,
14,5,0,0,5/3/2021 14:34,
15,5,1,0,5/3/2021 14:34,
16,5,0,0,5/3/2021 14:34,
17,5,1,0,5/3/2021 14:34,
18,5,0,0,5/3/2021 14:34,
19,5,1,0,5/3/2021 14:34,
20,5,0,0,5/3/2021 14:34,
21,5,1,0,5/3/2021 14:34,
22,5,0,0,5/3/2021 14:34,
23,5,1,0,5/3/2021 14:34,
24,5,0,0,5/3/2021 14:34,
25,5,1,0,5/3/2021 14:34,
26,5,0,0,5/3/2021 14:34,
27,5,1,0,5/3/2021 14:34,
28,4,1,0,5/3/2021 14:34,
29,0,0,1,5/3/2021 14:34,
30,0,0,0,5/3/2021 14:34,
31,0,0,1,5/3/2021 14:34,
32,0,0,0,5/3/2021 14:34,
33,0,1,0,5/3/2021 14:34,
34,1,1,0,5/3/2021 14:34,
35,2,1,0,5/3/2021 14:34,
36,3,1,0,5/3/2021 14:34,
37,4,1,0,5/3/2021 14:34,
38,5,1,0,5/3/2021 14:34,
39,6,1,0,5/3/2021 14:34,
40,7,1,0,5/3/2021 14:34,
41,8,1,0,5/3/2021 14:34,
42,9,1,0,5/3/2021 14:34,
43,10,1,0,5/3/2021 14:34,
44,11,1,0,5/3/2021 14:34,
45,10,1,0,5/3/2021 14:34,
46,9,1,0,5/3/2021 14:34,
47,0,0,1,5/3/2021 14:45,
48,0,1,0,5/3/2021 14:45,
49,1,1,0,5/3/2021 14:45,
50,2,1,0,5/3/2021 14:45,
51,3,1,0,5/3/2021 14:45,
52,3,0,1,5/3/2021 14:45,
53,3,1,0,5/3/2021 14:45,
54,4,1,0,5/3/2021 14:45,
55,5,1,0,5/3/2021 14:45,
56,6,1,0,5/3/2021 14:45,
57,6,0,0,5/3/2021 14:45,
58,6,1,0,5/3/2021 14:45,
59,7,1,0,5/3/2021 14:45,
60,8,1,0,5/3/2021 14:45,
61,8,0,0,5/3/2021 14:45,
62,8,1,0,5/3/2021 14:45,
63,9,1,0,5/3/2021 14:45,
64,9,0,1,5/3/2021 14:46,
65,9,1,0,5/3/2021 14:46,
66,9,0,0,5/3/2021 14:46,
67,9,1,0,5/3/2021 14:46,
68,10,1,0,5/3/2021 14:46,
69,10,0,0,5/3/2021 14:46,
70,10,1,0,5/3/2021 14:46,
71,11,1,0,5/3/2021 14:46,
72,12,1,0,5/3/2021 14:46,
73,13,1,0,5/3/2021 14:46,
74,13,0,0,5/3/2021 14:46,
75,13,1,0,5/3/2021 14:46,
76,13,0,0,5/3/2021 14:46,
77,13,1,0,5/3/2021 14:46,
78,13,0,0,5/3/2021 14:47,
79,13,1,0,5/3/2021 14:47,
80,14,1,0,5/3/2021 14:47,
81,14,0,0,5/3/2021 14:47,
82,14,1,0,5/3/2021 14:47,
83,15,1,0,5/3/2021 14:47,
84,14,1,0,5/3/2021 14:47,
85,14,0,1,5/3/2021 14:47,
86,14,1,0,5/3/2021 14:47,
87,15,1,0,5/3/2021 14:47,
88,15,0,1,5/3/2021 14:47,
89,15,1,0,5/3/2021 14:47,
90,14,1,0,5/3/2021 14:47,
91,15,1,0,5/3/2021 14:47,
92,16,1,0,5/3/2021 14:47,
93,16,0,0,5/3/2021 14:47,
94,16,1,0,5/3/2021 14:47,
95,16,0,1,5/3/2021 14:47,
96,16,1,0,5/3/2021 14:47,
97,15,1,0,5/3/2021 14:47,
98,15,0,0,5/3/2021 14:47,
99,15,1,0,5/3/2021 14:47,
100,14,1,0,5/3/2021 14:47,
101,14,0,1,5/3/2021 14:47,
102,14,1,0,5/3/2021 14:47,
103,14,0,1,5/3/2021 14:47,
104,14,1,0,5/3/2021 14:47,
105,14,0,1,5/3/2021 14:48,
106,14,1,0,5/3/2021 14:48,
107,15,1,0,5/3/2021 14:48,
108,16,1,0,5/3/2021 14:49,
109,0,0,1,5/3/2021 14:51,
110,0,1,0,5/3/2021 14:51,
111,0,0,1,5/3/2021 14:51,
112,0,1,0,5/3/2021 14:51,
