index,pricePerKwh,validFrom,validTo,date
1,0.5462,0:00:00,1:00:00,5/8/2021
2,0.4988,1:00:00,2:00:00,5/8/2021
3,0.486,2:00:00,3:00:00,5/8/2021
4,0.5011,3:00:00,4:00:00,5/8/2021
5,0.4909,4:00:00,5:00:00,5/8/2021
6,0.5275,5:00:00,6:00:00,5/8/2021
7,0.518,6:00:00,7:00:00,5/8/2021
8,0.5447,7:00:00,8:00:00,5/8/2021
9,0.5539,8:00:00,9:00:00,5/8/2021
10,0.5214,9:00:00,10:00:00,5/8/2021
11,0.4612,10:00:00,11:00:00,5/8/2021
12,0.4147,11:00:00,12:00:00,5/8/2021
13,0.3714,12:00:00,13:00:00,5/8/2021
14,0.309,13:00:00,14:00:00,5/8/2021
15,0.3018,14:00:00,15:00:00,5/8/2021
16,0.302,15:00:00,16:00:00,5/8/2021
17,0.3405,16:00:00,17:00:00,5/8/2021
18,0.5025,17:00:00,18:00:00,5/8/2021
19,0.5372,18:00:00,19:00:00,5/8/2021
20,0.5885,19:00:00,20:00:00,5/8/2021
21,0.6176,20:00:00,21:00:00,5/8/2021
22,0.5885,21:00:00,22:00:00,5/8/2021
23,0.5373,22:00:00,23:00:00,5/8/2021
24,0.4701,23:00:00,0:00:00,5/8/2021
32,0.5462,0:00:00,1:00:00,5/8/2021
33,0.4988,1:00:00,2:00:00,5/8/2021
34,0.486,2:00:00,3:00:00,5/8/2021
35,0.5011,3:00:00,4:00:00,5/8/2021
36,0.4909,4:00:00,5:00:00,5/8/2021
37,0.5275,5:00:00,6:00:00,5/8/2021
38,0.518,6:00:00,7:00:00,5/8/2021
39,0.5447,7:00:00,8:00:00,5/8/2021
40,0.5539,8:00:00,9:00:00,5/8/2021
41,0.5214,9:00:00,10:00:00,5/8/2021
42,0.4612,10:00:00,11:00:00,5/8/2021
43,0.4147,11:00:00,12:00:00,5/8/2021
44,0.3714,12:00:00,13:00:00,5/8/2021
45,0.309,13:00:00,14:00:00,5/8/2021
46,0.3018,14:00:00,15:00:00,5/8/2021
47,0.302,15:00:00,16:00:00,5/8/2021
48,0.3405,16:00:00,17:00:00,5/8/2021
49,0.5025,17:00:00,18:00:00,5/8/2021
50,0.5372,18:00:00,19:00:00,5/8/2021
51,0.5885,19:00:00,20:00:00,5/8/2021
52,0.6176,20:00:00,21:00:00,5/8/2021
53,0.5885,21:00:00,22:00:00,5/8/2021
54,0.5373,22:00:00,23:00:00,5/8/2021
55,0.4701,23:00:00,0:00:00,5/8/2021
63,0.5462,0:00:00,1:00:00,5/8/2021
64,0.4988,1:00:00,2:00:00,5/8/2021
65,0.486,2:00:00,3:00:00,5/8/2021
66,0.5011,3:00:00,4:00:00,5/8/2021
67,0.4909,4:00:00,5:00:00,5/8/2021
68,0.5275,5:00:00,6:00:00,5/8/2021
69,0.518,6:00:00,7:00:00,5/8/2021
70,0.5447,7:00:00,8:00:00,5/8/2021
71,0.5539,8:00:00,9:00:00,5/8/2021
72,0.5214,9:00:00,10:00:00,5/8/2021
73,0.4612,10:00:00,11:00:00,5/8/2021
74,0.4147,11:00:00,12:00:00,5/8/2021
75,0.3714,12:00:00,13:00:00,5/8/2021
76,0.309,13:00:00,14:00:00,5/8/2021
77,0.3018,14:00:00,15:00:00,5/8/2021
78,0.302,15:00:00,16:00:00,5/8/2021
79,0.3405,16:00:00,17:00:00,5/8/2021
80,0.5025,17:00:00,18:00:00,5/8/2021
81,0.5372,18:00:00,19:00:00,5/8/2021
82,0.5885,19:00:00,20:00:00,5/8/2021
83,0.6176,20:00:00,21:00:00,5/8/2021
84,0.5885,21:00:00,22:00:00,5/8/2021
85,0.5373,22:00:00,23:00:00,5/8/2021
86,0.4701,23:00:00,0:00:00,5/8/2021
94,0.5462,0:00:00,1:00:00,5/8/2021
95,0.4988,1:00:00,2:00:00,5/8/2021
96,0.486,2:00:00,3:00:00,5/8/2021
97,0.5011,3:00:00,4:00:00,5/8/2021
98,0.4909,4:00:00,5:00:00,5/8/2021
99,0.5275,5:00:00,6:00:00,5/8/2021
100,0.518,6:00:00,7:00:00,5/8/2021
101,0.5447,7:00:00,8:00:00,5/8/2021
102,0.5539,8:00:00,9:00:00,5/8/2021
103,0.5214,9:00:00,10:00:00,5/8/2021
104,0.4612,10:00:00,11:00:00,5/8/2021
105,0.4147,11:00:00,12:00:00,5/8/2021
106,0.3714,12:00:00,13:00:00,5/8/2021
107,0.309,13:00:00,14:00:00,5/8/2021
108,0.3018,14:00:00,15:00:00,5/8/2021
109,0.302,15:00:00,16:00:00,5/8/2021
110,0.3405,16:00:00,17:00:00,5/8/2021
111,0.5025,17:00:00,18:00:00,5/8/2021
112,0.5372,18:00:00,19:00:00,5/8/2021
113,0.5885,19:00:00,20:00:00,5/8/2021
114,0.6176,20:00:00,21:00:00,5/8/2021
115,0.5885,21:00:00,22:00:00,5/8/2021
116,0.5373,22:00:00,23:00:00,5/8/2021
117,0.4701,23:00:00,0:00:00,5/8/2021
118,0.5462,0:00:00,1:00:00,5/8/2021
119,0.4988,1:00:00,2:00:00,5/8/2021
120,0.486,2:00:00,3:00:00,5/8/2021
121,0.5011,3:00:00,4:00:00,5/8/2021
122,0.4909,4:00:00,5:00:00,5/8/2021
123,0.5275,5:00:00,6:00:00,5/8/2021
124,0.518,6:00:00,7:00:00,5/8/2021
