index,powerInn,timestamp
1,10.14,5/8/2021 16:00
2,7.501,5/8/2021 16:30
3,8.704,5/8/2021 17:00
4,8.917,5/8/2021 17:30
5,6.811,5/8/2021 18:00
6,5.525,5/8/2021 18:30
7,5.011,5/8/2021 19:00
8,4.131,5/8/2021 19:30
9,2.502,5/8/2021 20:00
10,0.812,5/8/2021 20:30
11,0.497,5/8/2021 21:00
12,0.249,5/8/2021 21:30
13,,5/8/2021 22:00
14,,5/8/2021 22:30
15,,5/8/2021 23:00
16,,5/8/2021 23:30
17,,5/9/2021 0:00
18,,5/9/2021 0:30
19,,5/9/2021 1:00
20,,5/9/2021 1:30
21,,5/9/2021 2:00
22,,5/9/2021 2:30
23,,5/9/2021 3:00
24,,5/9/2021 3:30
25,,5/9/2021 4:00
26,,5/9/2021 4:30
27,,5/9/2021 5:00
28,0.271,5/9/2021 5:30
29,0.634,5/9/2021 6:00
30,1.306,5/9/2021 6:30
31,2.649,5/9/2021 7:00
32,4.111,5/9/2021 7:30
33,5.661,5/9/2021 8:00
34,7.06,5/9/2021 8:30
35,8.25,5/9/2021 9:00
36,9.355,5/9/2021 9:30
37,10.472,5/9/2021 10:00
38,11.702,5/9/2021 10:30
39,12.958,5/9/2021 11:00
40,14.4,5/9/2021 11:30
41,15.612,5/9/2021 12:00
42,16.452,5/9/2021 12:30
43,16.78,5/9/2021 13:00
44,16.079,5/9/2021 13:30
45,15.107,5/9/2021 14:00
46,13.856,5/9/2021 14:30
47,12.965,5/9/2021 15:00
48,12.216,5/9/2021 15:30
64,3.287,5/8/2021 17:00
65,5.223,5/8/2021 17:30
66,5.345,5/8/2021 18:00
67,5.661,5/8/2021 18:30
68,5.268,5/8/2021 19:00
69,3.897,5/8/2021 19:30
70,2.668,5/8/2021 20:00
71,1.03,5/8/2021 20:30
72,0.497,5/8/2021 21:00
73,0.249,5/8/2021 21:30
74,,5/8/2021 22:00
75,,5/8/2021 22:30
76,,5/8/2021 23:00
77,,5/8/2021 23:30
78,,5/9/2021 0:00
79,,5/9/2021 0:30
80,,5/9/2021 1:00
81,,5/9/2021 1:30
82,,5/9/2021 2:00
83,,5/9/2021 2:30
84,,5/9/2021 3:00
85,,5/9/2021 3:30
86,,5/9/2021 4:00
87,,5/9/2021 4:30
88,,5/9/2021 5:00
89,0.271,5/9/2021 5:30
90,0.634,5/9/2021 6:00
91,1.306,5/9/2021 6:30
92,2.649,5/9/2021 7:00
93,4.111,5/9/2021 7:30
94,5.661,5/9/2021 8:00
95,7.06,5/9/2021 8:30
96,8.25,5/9/2021 9:00
97,9.355,5/9/2021 9:30
