index,people,lightVal,tempVal,winowOpen,fanSpeed,roomID,timestamp
1,0,255,25,1,10,0,5/6/2021 22:18
2,0,255,25,1,10,0,5/6/2021 22:18
3,0,255,25,1,10,0,5/6/2021 22:18
4,,0,21,0,0,,5/6/2021 22:18
5,,176,0,0,0,,5/6/2021 22:18
6,,176,0,0,96,,5/6/2021 22:18
7,,176,22,0,96,,5/6/2021 22:18
8,,180,0,0,0,,5/6/2021 22:18
9,,0,0,57,0,,5/6/2021 22:18
10,,0,0,0,0,,5/6/2021 22:18
11,,0,0,0,0,1,5/6/2021 22:18
12,8,73,18,0,0,1,5/6/2021 22:18
13,8,179,0,31,0,1,5/6/2021 22:18
14,8,164,0,31,0,1,5/6/2021 22:18
15,10,144,0,0,0,1,5/6/2021 22:18
16,1,0,0,42,119,9,5/6/2021 22:18
17,1,161,0,42,119,9,5/6/2021 22:18
18,0,201,22,42,119,7,5/6/2021 22:18
19,1,201,22,42,119,9,5/6/2021 22:18
20,10,1,1,1,1,2,5/6/2021 22:18
21,10,144,0,0,0,,5/6/2021 22:18
22,10,144,0,0,0,,5/6/2021 22:18
23,10,144,0,0,0,,5/6/2021 22:18
24,10,144,0,0,0,1,5/6/2021 22:18
25,10,0,0,0,0,3,5/6/2021 22:18
26,10,144,0,0,0,1,5/6/2021 22:18
27,10,144,0,0,0,1,5/6/2021 22:18
28,10,0,0,0,0,10,5/6/2021 22:20
29,0,144,0,0,0,1,5/7/2021 10:06
30,0,144,0,0,0,1,5/7/2021 10:07
31,0,144,0,0,0,1,5/7/2021 10:11
32,0,0,0,0,100,1,5/7/2021 10:11
33,0,255,0,0,226,1,5/7/2021 10:11
34,0,255,0,0,50,1,5/7/2021 10:12
35,0,255,0,0,25,1,5/7/2021 10:13
36,0,255,0,0,105,1,5/7/2021 10:13
37,0,255,0,0,25,1,5/7/2021 10:13
38,0,255,0,0,25,1,5/7/2021 10:13
39,0,255,0,0,25,1,5/7/2021 10:15
40,0,255,0,0,252,1,5/7/2021 10:15
41,0,255,0,0,133,1,5/7/2021 10:15
42,0,255,0,0,65,1,5/7/2021 10:16
43,0,117,0,0,65,1,5/7/2021 10:16
44,0,117,23,0,65,1,5/7/2021 10:16
45,1,117,23,0,65,1,5/7/2021 10:16
46,2,117,23,0,65,1,5/7/2021 10:17
47,3,117,23,0,65,1,5/7/2021 10:17
48,4,117,23,0,65,1,5/7/2021 10:17
49,5,117,23,0,65,1,5/7/2021 10:17
50,6,117,23,0,65,1,5/7/2021 10:17
51,7,117,23,0,65,1,5/7/2021 10:17
52,8,117,23,0,65,1,5/7/2021 10:17
53,9,117,23,0,65,1,5/7/2021 10:17
54,10,117,23,0,65,1,5/7/2021 10:17
55,9,117,23,0,65,1,5/7/2021 10:17
56,8,117,23,0,65,1,5/7/2021 10:17
57,7,117,23,0,65,1,5/7/2021 10:17
58,6,117,23,0,65,1,5/7/2021 10:17
59,5,117,23,0,65,1,5/7/2021 10:17
60,5,117,23,69,65,1,5/7/2021 10:17
61,5,117,23,69,0,1,5/7/2021 10:18
62,0,117,23,69,0,1,5/7/2021 10:19
