index ,temperature,description, cloudiness ,windspeed ,humidity,pressure,timestamp
1,4.64,spredt skydekke,65,1.44,58,1015,5/1/2021 21:00
2,3.93,spredt skydekke,56,1.14,63,1015,5/1/2021 22:00
3,3.16,spredte skyer,47,0.91,67,1016,5/1/2021 23:00
4,2.41,spredte skyer,39,0.88,72,1016,5/2/2021 0:00
5,1.54,spredte skyer,30,1.05,78,1017,5/2/2021 1:00
6,1.32,spredte skyer,29,1.19,78,1017,5/2/2021 2:00
7,1.21,spredte skyer,38,1.38,79,1017,5/2/2021 3:00
8,1.02,spredte skyer,35,1.52,79,1017,5/2/2021 4:00
9,0.83,spredte skyer,31,1.74,79,1017,5/2/2021 5:00
10,1.11,spredte skyer,29,1.95,78,1016,5/2/2021 6:00
11,1.89,spredte skyer,27,2.08,74,1016,5/2/2021 7:00
12,2.67,spredte skyer,27,2.04,70,1016,5/2/2021 8:00
13,3.41,enkelte skyer,22,1.85,65,1016,5/2/2021 9:00
14,3.97,spredte skyer,28,1.76,62,1016,5/2/2021 10:00
15,4.26,spredte skyer,37,1.79,61,1016,5/2/2021 11:00
16,4.65,spredte skyer,47,1.62,60,1016,5/2/2021 12:00
17,4.84,spredt skydekke,54,1.6,59,1016,5/2/2021 13:00
18,5.27,spredt skydekke,59,2.04,58,1015,5/2/2021 14:00
19,5.66,spredt skydekke,81,2.57,58,1015,5/2/2021 15:00
20,5.6,spredt skydekke,76,3.22,58,1015,5/2/2021 16:00
21,5.32,spredt skydekke,79,3.68,59,1015,5/2/2021 17:00
22,4.95,spredt skydekke,79,3.5,60,1015,5/2/2021 18:00
23,4.67,spredt skydekke,81,3.03,60,1014,5/2/2021 19:00
24,4.31,spredt skydekke,80,2.3,62,1015,5/2/2021 20:00
25,7.14,overskyet,94,6.01,79,996,5/4/2021 14:00
26,7.25,overskyet,95,6.35,75,997,5/4/2021 15:00
27,7.33,overskyet,96,6.39,72,998,5/4/2021 16:00
28,7.31,overskyet,98,6.53,71,998,5/4/2021 17:00
29,7.12,overskyet,99,6.11,70,999,5/4/2021 18:00
30,6.79,overskyet,100,5.81,69,1000,5/4/2021 19:00
31,6.5,overskyet,100,5.63,68,1000,5/4/2021 20:00
32,6.36,overskyet,100,6.25,66,1000,5/4/2021 21:00
33,5.96,overskyet,100,5.72,65,1000,5/4/2021 22:00
34,5.55,overskyet,100,4.55,64,1000,5/4/2021 23:00
35,5.22,overskyet,100,4.03,63,1001,5/5/2021 0:00
36,4.83,overskyet,100,4.51,64,1001,5/5/2021 1:00
37,4.43,overskyet,100,4.84,65,1001,5/5/2021 2:00
